"hgnc_symbol","reactpathID","description","entrezgene_id"
"CYBB","R-HSA-9711123","Cellular response to chemical stress",1536
"CYBB","R-HSA-195258","RHO GTPase Effectors",1536
"CYBB","R-HSA-983169","Class I MHC mediated antigen processing & presentation",1536
"CYBB","R-HSA-9012999","RHO GTPase cycle",1536
"CYBB","R-HSA-6798695","Neutrophil degranulation",1536
"CYP1A2","R-HSA-156581","Methylation",1544
"CYP1A2","R-HSA-9018677","Biosynthesis of DHA-derived SPMs",1544
"CYP1A2","R-HSA-5423646","Aflatoxin activation and detoxification",1544
"CYP1A2","R-HSA-9018678","Biosynthesis of specialized proresolving mediators (SPMs)",1544
"CYP1A2","R-HSA-211981","Xenobiotics",1544
"CYP1A2","R-HSA-2142753","Arachidonic acid metabolism",1544
"CYP1A2","R-HSA-211897","Cytochrome P450 - arranged by substrate type",1544
"CYP1A2","R-HSA-211945","Phase I - Functionalization of compounds",1544
"CYP1A2","R-HSA-156580","Phase II - Conjugation of compounds",1544
"CYP1A2","R-HSA-8978868","Fatty acid metabolism",1544
"CYP1A2","R-HSA-211859","Biological oxidations",1544
"CYP2B6","R-HSA-211999","CYP2E1 reactions",1555
"CYP2B6","R-HSA-211935","Fatty acids",1555
"CYP2B6","R-HSA-211981","Xenobiotics",1555
"CYP2B6","R-HSA-211897","Cytochrome P450 - arranged by substrate type",1555
"CYP2B6","R-HSA-211945","Phase I - Functionalization of compounds",1555
"CYP2B6","R-HSA-211859","Biological oxidations",1555
"CYP2C19","R-HSA-211999","CYP2E1 reactions",1557
"CYP2C19","R-HSA-211981","Xenobiotics",1557
"CYP2C19","R-HSA-9749641","Aspirin ADME",1557
"CYP2C19","R-HSA-2142753","Arachidonic acid metabolism",1557
"CYP2C19","R-HSA-211897","Cytochrome P450 - arranged by substrate type",1557
"CYP2C19","R-HSA-211945","Phase I - Functionalization of compounds",1557
"CYP2C19","R-HSA-9748784","Drug ADME",1557
"CYP2C19","R-HSA-8978868","Fatty acid metabolism",1557
"CYP2C19","R-HSA-211859","Biological oxidations",1557
"CYP2D6","R-HSA-211999","CYP2E1 reactions",1565
"CYP2D6","R-HSA-211958","Miscellaneous substrates",1565
"CYP2D6","R-HSA-211935","Fatty acids",1565
"CYP2D6","R-HSA-9018677","Biosynthesis of DHA-derived SPMs",1565
"CYP2D6","R-HSA-9018678","Biosynthesis of specialized proresolving mediators (SPMs)",1565
"CYP2D6","R-HSA-211981","Xenobiotics",1565
"CYP2D6","R-HSA-9749641","Aspirin ADME",1565
"CYP2D6","R-HSA-211897","Cytochrome P450 - arranged by substrate type",1565
"CYP2D6","R-HSA-211945","Phase I - Functionalization of compounds",1565
"CYP2D6","R-HSA-9748784","Drug ADME",1565
"CYP2D6","R-HSA-211859","Biological oxidations",1565
"CYP3A4","R-HSA-9757110","Prednisone ADME",1576
"CYP3A4","R-HSA-9018677","Biosynthesis of DHA-derived SPMs",1576
"CYP3A4","R-HSA-5423646","Aflatoxin activation and detoxification",1576
"CYP3A4","R-HSA-9018678","Biosynthesis of specialized proresolving mediators (SPMs)",1576
"CYP3A4","R-HSA-211981","Xenobiotics",1576
"CYP3A4","R-HSA-9749641","Aspirin ADME",1576
"CYP3A4","R-HSA-211897","Cytochrome P450 - arranged by substrate type",1576
"CYP3A4","R-HSA-211945","Phase I - Functionalization of compounds",1576
"CYP3A4","R-HSA-9748784","Drug ADME",1576
"CYP3A4","R-HSA-211859","Biological oxidations",1576
"CYP3A5","R-HSA-5423646","Aflatoxin activation and detoxification",1577
"CYP3A5","R-HSA-211981","Xenobiotics",1577
"CYP3A5","R-HSA-211897","Cytochrome P450 - arranged by substrate type",1577
"CYP3A5","R-HSA-211945","Phase I - Functionalization of compounds",1577
"CYP3A5","R-HSA-211859","Biological oxidations",1577
"EEF1A1","R-HSA-3371511","HSF1 activation",1915
"EEF1A1","R-HSA-8876725","Protein methylation",1915
"EEF1A1","R-HSA-9613829","Chaperone Mediated Autophagy",1915
"EEF1A1","R-HSA-9735869","SARS-CoV-1 modulates host translation machinery",1915
"EEF1A1","R-HSA-156902","Peptide chain elongation",1915
"EEF1A1","R-HSA-3371556","Cellular response to heat stress",1915
"EEF1A1","R-HSA-156842","Eukaryotic Translation Elongation",1915
"EEF1A1","R-HSA-9692914","SARS-CoV-1-host interactions",1915
"EEF1A1","R-HSA-9678108","SARS-CoV-1 Infection",1915
"EEF1A1","R-HSA-9612973","Autophagy",1915
"EEF1A1","R-HSA-72766","Translation",1915
"EEF1A1","R-HSA-9679506","SARS-CoV Infections",1915
"EEF1A1","R-HSA-6798695","Neutrophil degranulation",1915
"EEF1A2","R-HSA-156842","Eukaryotic Translation Elongation",1917
"EEF1A2","R-HSA-72766","Translation",1917
"ELK1","R-HSA-198753","ERK/MAPK targets",2002
"ELK1","R-HSA-9634638","Estrogen-dependent nuclear events downstream of ESR-membrane signaling",2002
"ELK1","R-HSA-450282","MAPK targets/ Nuclear events mediated by MAP kinases",2002
"ELK1","R-HSA-9031628","NGF-stimulated transcription",2002
"ELK1","R-HSA-198725","Nuclear Events (kinase and transcription factor activation)",2002
"ELK1","R-HSA-450294","MAP kinase activation",2002
"ELK1","R-HSA-448424","Interleukin-17 signaling",2002
"ELK1","R-HSA-9009391","Extra-nuclear estrogen signaling",2002
"ELK1","R-HSA-168142","Toll Like Receptor 10 (TLR10) Cascade",2002
"ELK1","R-HSA-168176","Toll Like Receptor 5 (TLR5) Cascade",2002
"ELK1","R-HSA-975871","MyD88 cascade initiated on plasma membrane",2002
"ELK1","R-HSA-975138","TRAF6 mediated induction of NFkB and MAP kinases upon TLR7/8 or 9 activation",2002
"ELK1","R-HSA-975155","MyD88 dependent cascade initiated on endosome",2002
"ELK1","R-HSA-168164","Toll Like Receptor 3 (TLR3) Cascade",2002
"ELK1","R-HSA-168181","Toll Like Receptor 7/8 (TLR7/8) Cascade",2002
"ELK1","R-HSA-168138","Toll Like Receptor 9 (TLR9) Cascade",2002
"ELK1","R-HSA-166166","MyD88-independent TLR4 cascade ",2002
"ELK1","R-HSA-937061","TRIF(TICAM1)-mediated TLR4 signaling ",2002
"ELK1","R-HSA-166058","MyD88:MAL(TIRAP) cascade initiated on plasma membrane",2002
"ELK1","R-HSA-168188","Toll Like Receptor TLR6:TLR2 Cascade",2002
"ELK1","R-HSA-187037","Signaling by NTRK1 (TRKA)",2002
"ELK1","R-HSA-168179","Toll Like Receptor TLR1:TLR2 Cascade",2002
"ELK1","R-HSA-181438","Toll Like Receptor 2 (TLR2) Cascade",2002
"ELK1","R-HSA-166520","Signaling by NTRKs",2002
"ELK1","R-HSA-9609690","HCMV Early Events",2002
"ELK1","R-HSA-166016","Toll Like Receptor 4 (TLR4) Cascade",2002
"ELK1","R-HSA-9609646","HCMV Infection",2002
"ELK1","R-HSA-168898","Toll-like Receptor Cascades",2002
"ELK1","R-HSA-8939211","ESR-mediated signaling",2002
"ELK1","R-HSA-9006931","Signaling by Nuclear Receptors",2002
"F2","R-HSA-159740","Gamma-carboxylation of protein precursors",2147
"F2","R-HSA-159782","Removal of aminoterminal propeptides from gamma-carboxylated proteins",2147
"F2","R-HSA-159854","Gamma-carboxylation, transport, and amino-terminal cleavage of proteins",2147
"F2","R-HSA-9651496","Defects of contact activation system (CAS) and kallikrein/kinin system (KKS)",2147
"F2","R-HSA-9671793","Diseases of hemostasis",2147
"F2","R-HSA-140875","Common Pathway of Fibrin Clot Formation",2147
"F2","R-HSA-140837","Intrinsic Pathway of Fibrin Clot Formation",2147
"F2","R-HSA-456926","Thrombin signalling through proteinase activated receptors (PARs)",2147
"F2","R-HSA-140877","Formation of Fibrin Clot (Clotting Cascade)",2147
"F2","R-HSA-76009","Platelet Aggregation (Plug Formation)",2147
"F2","R-HSA-163841","Gamma carboxylation, hypusine formation and arylsulfatase activation",2147
"F2","R-HSA-977606","Regulation of Complement cascade",2147
"F2","R-HSA-166658","Complement cascade",2147
"F2","R-HSA-381426","Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs)",2147
"F2","R-HSA-202733","Cell surface interactions at the vascular wall",2147
"F2","R-HSA-375276","Peptide ligand-binding receptors",2147
"F2","R-HSA-416476","G alpha (q) signalling events",2147
"F2","R-HSA-76002","Platelet activation, signaling and aggregation",2147
"F2","R-HSA-373076","Class A/1 (Rhodopsin-like receptors)",2147
"F2","R-HSA-500792","GPCR ligand binding",2147
"FADD","R-HSA-2562578","TRIF-mediated programmed cell death",8772
"FADD","R-HSA-3371378","Regulation by c-FLIP",8772
"FADD","R-HSA-5218900","CASP8 activity is inhibited",8772
"FADD","R-HSA-69416","Dimerization of procaspase-8",8772
"FADD","R-HSA-5357786","TNFR1-induced proapoptotic signaling",8772
"FADD","R-HSA-933543","NF-kB activation through FADD/RIP-1 pathway mediated by caspase-8 and -10",8772
"FADD","R-HSA-140534","Caspase activation via Death Receptors in the presence of ligand",8772
"FADD","R-HSA-5357769","Caspase activation via extrinsic apoptotic signalling pathway",8772
"FADD","R-HSA-5213460","RIPK1-mediated regulated necrosis",8772
"FADD","R-HSA-5675482","Regulation of necroptotic cell death",8772
"FADD","R-HSA-5357905","Regulation of TNFR1 signaling",8772
"FADD","R-HSA-75893","TNF signaling",8772
"FADD","R-HSA-5218859","Regulated Necrosis",8772
"FADD","R-HSA-168928","DDX58/IFIH1-mediated induction of interferon-alpha/beta",8772
"FADD","R-HSA-168164","Toll Like Receptor 3 (TLR3) Cascade",8772
"FADD","R-HSA-9645723","Diseases of programmed cell death",8772
"FADD","R-HSA-166166","MyD88-independent TLR4 cascade ",8772
"FADD","R-HSA-937061","TRIF(TICAM1)-mediated TLR4 signaling ",8772
"FADD","R-HSA-166016","Toll Like Receptor 4 (TLR4) Cascade",8772
"FADD","R-HSA-73887","Death Receptor Signalling",8772
"FADD","R-HSA-168898","Toll-like Receptor Cascades",8772
"FADD","R-HSA-109581","Apoptosis",8772
"FADD","R-HSA-5357801","Programmed Cell Death",8772
"FAS","R-HSA-3371378","Regulation by c-FLIP",355
"FAS","R-HSA-5218900","CASP8 activity is inhibited",355
"FAS","R-HSA-69416","Dimerization of procaspase-8",355
"FAS","R-HSA-6803211","TP53 Regulates Transcription of Death Receptors and Ligands",355
"FAS","R-HSA-140534","Caspase activation via Death Receptors in the presence of ligand",355
"FAS","R-HSA-5357769","Caspase activation via extrinsic apoptotic signalling pathway",355
"FAS","R-HSA-5213460","RIPK1-mediated regulated necrosis",355
"FAS","R-HSA-5675482","Regulation of necroptotic cell death",355
"FAS","R-HSA-5633008","TP53 Regulates Transcription of Cell Death Genes",355
"FAS","R-HSA-5218859","Regulated Necrosis",355
"FAS","R-HSA-73887","Death Receptor Signalling",355
"FAS","R-HSA-109581","Apoptosis",355
"FAS","R-HSA-5357801","Programmed Cell Death",355
"FAS","R-HSA-3700989","Transcriptional Regulation by TP53",355
"FASLG","R-HSA-3371378","Regulation by c-FLIP",356
"FASLG","R-HSA-5218900","CASP8 activity is inhibited",356
"FASLG","R-HSA-69416","Dimerization of procaspase-8",356
"FASLG","R-HSA-9614657","FOXO-mediated transcription of cell death genes",356
"FASLG","R-HSA-140534","Caspase activation via Death Receptors in the presence of ligand",356
"FASLG","R-HSA-8862803","Deregulated CDK5 triggers multiple neurodegenerative pathways in Alzheimer's disease models",356
"FASLG","R-HSA-8863678","Neurodegenerative Diseases",356
"FASLG","R-HSA-9734009","Defective Intrinsic Pathway for Apoptosis",356
"FASLG","R-HSA-5357769","Caspase activation via extrinsic apoptotic signalling pathway",356
"FASLG","R-HSA-5213460","RIPK1-mediated regulated necrosis",356
"FASLG","R-HSA-5669034","TNFs bind their physiological receptors",356
"FASLG","R-HSA-5675482","Regulation of necroptotic cell death",356
"FASLG","R-HSA-5218859","Regulated Necrosis",356
"FASLG","R-HSA-9614085","FOXO-mediated transcription",356
"FASLG","R-HSA-5668541","TNFR2 non-canonical NF-kB pathway",356
"FASLG","R-HSA-9645723","Diseases of programmed cell death",356
"FASLG","R-HSA-6785807","Interleukin-4 and Interleukin-13 signaling",356
"FASLG","R-HSA-73887","Death Receptor Signalling",356
"FASLG","R-HSA-109581","Apoptosis",356
"FASLG","R-HSA-5357801","Programmed Cell Death",356
"FASLG","R-HSA-449147","Signaling by Interleukins",356
"FCGR1A","R-HSA-2029481","FCGR activation",2209
"FCGR1A","R-HSA-2029485","Role of phospholipids in phagocytosis",2209
"FCGR1A","R-HSA-9664323","FCGR3A-mediated IL10 synthesis",2209
"FCGR1A","R-HSA-1236978","Cross-presentation of soluble exogenous antigens (endosomes)",2209
"FCGR1A","R-HSA-2029482","Regulation of actin dynamics for phagocytic cup formation",2209
"FCGR1A","R-HSA-9662851","Anti-inflammatory response favouring Leishmania parasite infection",2209
"FCGR1A","R-HSA-9664433","Leishmania parasite growth and survival",2209
"FCGR1A","R-HSA-2029480","Fcgamma receptor (FCGR) dependent phagocytosis",2209
"FCGR1A","R-HSA-877300","Interferon gamma signaling",2209
"FCGR1A","R-HSA-1236975","Antigen processing-Cross presentation",2209
"FCGR1A","R-HSA-198933","Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell",2209
"FCGR1A","R-HSA-9658195","Leishmania infection",2209
"FCGR1A","R-HSA-913531","Interferon Signaling",2209
"FCGR1A","R-HSA-983169","Class I MHC mediated antigen processing & presentation",2209
"FCGR2A","R-HSA-2029481","FCGR activation",2212
"FCGR2A","R-HSA-2029485","Role of phospholipids in phagocytosis",2212
"FCGR2A","R-HSA-9664323","FCGR3A-mediated IL10 synthesis",2212
"FCGR2A","R-HSA-2029482","Regulation of actin dynamics for phagocytic cup formation",2212
"FCGR2A","R-HSA-9662851","Anti-inflammatory response favouring Leishmania parasite infection",2212
"FCGR2A","R-HSA-9664433","Leishmania parasite growth and survival",2212
"FCGR2A","R-HSA-2029480","Fcgamma receptor (FCGR) dependent phagocytosis",2212
"FCGR2A","R-HSA-9658195","Leishmania infection",2212
"FCGR2A","R-HSA-6798695","Neutrophil degranulation",2212
"FCGR3A","R-HSA-2029481","FCGR activation",2214
"FCGR3A","R-HSA-2029485","Role of phospholipids in phagocytosis",2214
"FCGR3A","R-HSA-9664323","FCGR3A-mediated IL10 synthesis",2214
"FCGR3A","R-HSA-9664407","Parasite infection",2214
"FCGR3A","R-HSA-9664417","Leishmania phagocytosis",2214
"FCGR3A","R-HSA-9664422","FCGR3A-mediated phagocytosis",2214
"FCGR3A","R-HSA-2029482","Regulation of actin dynamics for phagocytic cup formation",2214
"FCGR3A","R-HSA-9662851","Anti-inflammatory response favouring Leishmania parasite infection",2214
"FCGR3A","R-HSA-9664433","Leishmania parasite growth and survival",2214
"FCGR3A","R-HSA-2029480","Fcgamma receptor (FCGR) dependent phagocytosis",2214
"FCGR3A","R-HSA-198933","Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell",2214
"FCGR3A","R-HSA-9658195","Leishmania infection",2214
"FCGR3B","R-HSA-163125","Post-translational modification: synthesis of GPI-anchored proteins",124905743
"FCGR3B","R-HSA-163125","Post-translational modification: synthesis of GPI-anchored proteins",2215
"FCGR3B","R-HSA-6798695","Neutrophil degranulation",124905743
"FCGR3B","R-HSA-6798695","Neutrophil degranulation",2215
"FMO3","R-HSA-5579029","Metabolic disorders of biological oxidation enzymes",2328
"FMO3","R-HSA-211945","Phase I - Functionalization of compounds",2328
"FMO3","R-HSA-211859","Biological oxidations",2328
"FMO3","R-HSA-5668914","Diseases of metabolism",2328
"FOS","R-HSA-450341","Activation of the AP-1 family of transcription factors",2353
"FOS","R-HSA-9768919","NPAS4 regulates expression of target genes",2353
"FOS","R-HSA-9634638","Estrogen-dependent nuclear events downstream of ESR-membrane signaling",2353
"FOS","R-HSA-450282","MAPK targets/ Nuclear events mediated by MAP kinases",2353
"FOS","R-HSA-2871796","FCERI mediated MAPK activation",2353
"FOS","R-HSA-9634815","Transcriptional Regulation by NPAS4",2353
"FOS","R-HSA-9031628","NGF-stimulated transcription",2353
"FOS","R-HSA-198725","Nuclear Events (kinase and transcription factor activation)",2353
"FOS","R-HSA-6796648","TP53 Regulates Transcription of DNA Repair Genes",2353
"FOS","R-HSA-450294","MAP kinase activation",2353
"FOS","R-HSA-448424","Interleukin-17 signaling",2353
"FOS","R-HSA-9009391","Extra-nuclear estrogen signaling",2353
"FOS","R-HSA-168142","Toll Like Receptor 10 (TLR10) Cascade",2353
"FOS","R-HSA-168176","Toll Like Receptor 5 (TLR5) Cascade",2353
"FOS","R-HSA-975871","MyD88 cascade initiated on plasma membrane",2353
"FOS","R-HSA-975138","TRAF6 mediated induction of NFkB and MAP kinases upon TLR7/8 or 9 activation",2353
"FOS","R-HSA-975155","MyD88 dependent cascade initiated on endosome",2353
"FOS","R-HSA-168164","Toll Like Receptor 3 (TLR3) Cascade",2353
"FOS","R-HSA-168181","Toll Like Receptor 7/8 (TLR7/8) Cascade",2353
"FOS","R-HSA-168138","Toll Like Receptor 9 (TLR9) Cascade",2353
"FOS","R-HSA-6785807","Interleukin-4 and Interleukin-13 signaling",2353
"FOS","R-HSA-166166","MyD88-independent TLR4 cascade ",2353
"FOS","R-HSA-937061","TRIF(TICAM1)-mediated TLR4 signaling ",2353
"FOS","R-HSA-2559582","Senescence-Associated Secretory Phenotype (SASP)",2353
"FOS","R-HSA-166058","MyD88:MAL(TIRAP) cascade initiated on plasma membrane",2353
"FOS","R-HSA-168188","Toll Like Receptor TLR6:TLR2 Cascade",2353
"FOS","R-HSA-187037","Signaling by NTRK1 (TRKA)",2353
"FOS","R-HSA-168179","Toll Like Receptor TLR1:TLR2 Cascade",2353
"FOS","R-HSA-181438","Toll Like Receptor 2 (TLR2) Cascade",2353
"FOS","R-HSA-2559580","Oxidative Stress Induced Senescence",2353
"GNA11","R-HSA-399997","Acetylcholine regulates insulin secretion",2767
"GNA11","R-HSA-400451","Free fatty acids regulate insulin secretion",2767
"GNA11","R-HSA-202040","G-protein activation",2767
"GNA11","R-HSA-428930","Thromboxane signalling through TP receptor",2767
"GNA11","R-HSA-418592","ADP signalling through P2Y purinoceptor 1",2767
"GNA11","R-HSA-456926","Thrombin signalling through proteinase activated receptors (PARs)",2767
"GNA11","R-HSA-392518","Signal amplification",2767
"GNA11","R-HSA-6814122","Cooperation of PDCL (PhLP1) and TRiC/CCT in G-protein beta folding",2767
"GNA11","R-HSA-112043","PLC beta mediated events",2767
"GNA11","R-HSA-112040","G-protein mediated events",2767
"GNA11","R-HSA-422356","Regulation of insulin secretion",2767
"GNA11","R-HSA-390466","Chaperonin-mediated protein folding",2767
"GNA11","R-HSA-111885","Opioid Signalling",2767
"GNA11","R-HSA-391251","Protein folding",2767
"GNA11","R-HSA-163685","Integration of energy metabolism",2767
"GNA11","R-HSA-416476","G alpha (q) signalling events",2767
"GNA11","R-HSA-76002","Platelet activation, signaling and aggregation",2767
"GNA11","R-HSA-418594","G alpha (i) signalling events",2767
"GNA14","R-HSA-399997","Acetylcholine regulates insulin secretion",9630
"GNA14","R-HSA-400451","Free fatty acids regulate insulin secretion",9630
"GNA14","R-HSA-202040","G-protein activation",9630
"GNA14","R-HSA-428930","Thromboxane signalling through TP receptor",9630
"GNA14","R-HSA-418592","ADP signalling through P2Y purinoceptor 1",9630
"GNA14","R-HSA-456926","Thrombin signalling through proteinase activated receptors (PARs)",9630
"GNA14","R-HSA-392518","Signal amplification",9630
"GNA14","R-HSA-6814122","Cooperation of PDCL (PhLP1) and TRiC/CCT in G-protein beta folding",9630
"GNA14","R-HSA-112043","PLC beta mediated events",9630
"GNA14","R-HSA-112040","G-protein mediated events",9630
"GNA14","R-HSA-422356","Regulation of insulin secretion",9630
"GNA14","R-HSA-390466","Chaperonin-mediated protein folding",9630
"GNA14","R-HSA-111885","Opioid Signalling",9630
"GNA14","R-HSA-391251","Protein folding",9630
"GNA14","R-HSA-163685","Integration of energy metabolism",9630
"GNA14","R-HSA-416476","G alpha (q) signalling events",9630
"GNA14","R-HSA-76002","Platelet activation, signaling and aggregation",9630
"GNA14","R-HSA-418594","G alpha (i) signalling events",9630
"GNA15","R-HSA-399997","Acetylcholine regulates insulin secretion",2769
"GNA15","R-HSA-400451","Free fatty acids regulate insulin secretion",2769
"GNA15","R-HSA-202040","G-protein activation",2769
"GNA15","R-HSA-428930","Thromboxane signalling through TP receptor",2769
"GNA15","R-HSA-418592","ADP signalling through P2Y purinoceptor 1",2769
"GNA15","R-HSA-456926","Thrombin signalling through proteinase activated receptors (PARs)",2769
"GNA15","R-HSA-392518","Signal amplification",2769
"GNA15","R-HSA-6814122","Cooperation of PDCL (PhLP1) and TRiC/CCT in G-protein beta folding",2769
"GNA15","R-HSA-112043","PLC beta mediated events",2769
"GNA15","R-HSA-112040","G-protein mediated events",2769
"GNA15","R-HSA-422356","Regulation of insulin secretion",2769
"GNA15","R-HSA-390466","Chaperonin-mediated protein folding",2769
"GNA15","R-HSA-111885","Opioid Signalling",2769
"GNA15","R-HSA-391251","Protein folding",2769
"GNA15","R-HSA-163685","Integration of energy metabolism",2769
"GNA15","R-HSA-416476","G alpha (q) signalling events",2769
"GNA15","R-HSA-76002","Platelet activation, signaling and aggregation",2769
"GNA15","R-HSA-418594","G alpha (i) signalling events",2769
"GNAI1","R-HSA-170670","Adenylate cyclase inhibitory pathway",2770
"GNAI1","R-HSA-392170","ADP signalling through P2Y purinoceptor 12",2770
"GNAI1","R-HSA-400042","Adrenaline,noradrenaline inhibits insulin secretion",2770
"GNAI1","R-HSA-392518","Signal amplification",2770
"GNAI1","R-HSA-9660821","ADORA2B mediated anti-inflammatory cytokines production",2770
"GNAI1","R-HSA-977444","GABA B receptor activation",2770
"GNAI1","R-HSA-991365","Activation of GABAB receptors",2770
"GNAI1","R-HSA-9634597","GPER1 signaling",2770
"GNAI1","R-HSA-418597","G alpha (z) signalling events",2770
"GNAI1","R-HSA-112040","G-protein mediated events",2770
"GNAI1","R-HSA-977443","GABA receptor activation",2770
"GNAI1","R-HSA-9009391","Extra-nuclear estrogen signaling",2770
"GNAI1","R-HSA-422356","Regulation of insulin secretion",2770
"GNAI1","R-HSA-9662851","Anti-inflammatory response favouring Leishmania parasite infection",2770
"GNAI1","R-HSA-9664433","Leishmania parasite growth and survival",2770
"GNAI1","R-HSA-111885","Opioid Signalling",2770
"GNAI1","R-HSA-163685","Integration of energy metabolism",2770
"GNAI1","R-HSA-418555","G alpha (s) signalling events",2770
"GNAI1","R-HSA-9658195","Leishmania infection",2770
"GNAI1","R-HSA-112314","Neurotransmitter receptors and postsynaptic signal transmission",2770
"GNAI1","R-HSA-8939211","ESR-mediated signaling",2770
"GNAI1","R-HSA-76002","Platelet activation, signaling and aggregation",2770
"GNAI1","R-HSA-112315","Transmission across Chemical Synapses",2770
"GNAI1","R-HSA-9006931","Signaling by Nuclear Receptors",2770
"GNAI1","R-HSA-418594","G alpha (i) signalling events",2770
"GNAI1","R-HSA-112316","Neuronal System",2770
"GNAI2","R-HSA-170670","Adenylate cyclase inhibitory pathway",2771
"GNAI2","R-HSA-392170","ADP signalling through P2Y purinoceptor 12",2771
"GNAI2","R-HSA-400042","Adrenaline,noradrenaline inhibits insulin secretion",2771
"GNAI2","R-HSA-392518","Signal amplification",2771
"GNAI2","R-HSA-9660821","ADORA2B mediated anti-inflammatory cytokines production",2771
"GNAI2","R-HSA-977444","GABA B receptor activation",2771
"GNAI2","R-HSA-991365","Activation of GABAB receptors",2771
"GNAI2","R-HSA-9634597","GPER1 signaling",2771
"GNAI2","R-HSA-418597","G alpha (z) signalling events",2771
"GNAI2","R-HSA-112040","G-protein mediated events",2771
"GNAI2","R-HSA-977443","GABA receptor activation",2771
"GNAI2","R-HSA-9009391","Extra-nuclear estrogen signaling",2771
"GNAI2","R-HSA-422356","Regulation of insulin secretion",2771
"GNAI2","R-HSA-9662851","Anti-inflammatory response favouring Leishmania parasite infection",2771
"GNAI2","R-HSA-9664433","Leishmania parasite growth and survival",2771
"GNAI2","R-HSA-111885","Opioid Signalling",2771
"GNAI2","R-HSA-163685","Integration of energy metabolism",2771
"GNAI2","R-HSA-418555","G alpha (s) signalling events",2771
"GNAI2","R-HSA-9658195","Leishmania infection",2771
"GNAI2","R-HSA-112314","Neurotransmitter receptors and postsynaptic signal transmission",2771
"GNAI2","R-HSA-8939211","ESR-mediated signaling",2771
"GNAI2","R-HSA-76002","Platelet activation, signaling and aggregation",2771
"GNAI2","R-HSA-112315","Transmission across Chemical Synapses",2771
"GNAI2","R-HSA-9006931","Signaling by Nuclear Receptors",2771
"GNAI2","R-HSA-418594","G alpha (i) signalling events",2771
"GNAI2","R-HSA-112316","Neuronal System",2771
"GNAI3","R-HSA-170670","Adenylate cyclase inhibitory pathway",2773
"GNAI3","R-HSA-392170","ADP signalling through P2Y purinoceptor 12",2773
"GNAI3","R-HSA-392518","Signal amplification",2773
"GNAI3","R-HSA-9660821","ADORA2B mediated anti-inflammatory cytokines production",2773
"GNAI3","R-HSA-977444","GABA B receptor activation",2773
"GNAI3","R-HSA-991365","Activation of GABAB receptors",2773
"GNAI3","R-HSA-9634597","GPER1 signaling",2773
"GNAI3","R-HSA-418597","G alpha (z) signalling events",2773
"GNAI3","R-HSA-112040","G-protein mediated events",2773
"GNAI3","R-HSA-977443","GABA receptor activation",2773
"GNAI3","R-HSA-9009391","Extra-nuclear estrogen signaling",2773
"GNAI3","R-HSA-9662851","Anti-inflammatory response favouring Leishmania parasite infection",2773
"GNAI3","R-HSA-9664433","Leishmania parasite growth and survival",2773
"GNAI3","R-HSA-111885","Opioid Signalling",2773
"GNAI3","R-HSA-418555","G alpha (s) signalling events",2773
"GNAI3","R-HSA-9658195","Leishmania infection",2773
"GNAI3","R-HSA-112314","Neurotransmitter receptors and postsynaptic signal transmission",2773
"GNAI3","R-HSA-8939211","ESR-mediated signaling",2773
"GNAI3","R-HSA-76002","Platelet activation, signaling and aggregation",2773
"GNAI3","R-HSA-112315","Transmission across Chemical Synapses",2773
"GNAI3","R-HSA-9006931","Signaling by Nuclear Receptors",2773
"GNAI3","R-HSA-418594","G alpha (i) signalling events",2773
"GNAI3","R-HSA-112316","Neuronal System",2773
"GNAL","R-HSA-170660","Adenylate cyclase activating pathway",2774
"GNAL","R-HSA-170670","Adenylate cyclase inhibitory pathway",2774
"GNAL","R-HSA-977444","GABA B receptor activation",2774
"GNAL","R-HSA-991365","Activation of GABAB receptors",2774
"GNAL","R-HSA-112040","G-protein mediated events",2774
"GNAL","R-HSA-977443","GABA receptor activation",2774
"GNAL","R-HSA-111885","Opioid Signalling",2774
"GNAL","R-HSA-112314","Neurotransmitter receptors and postsynaptic signal transmission",2774
"GNAL","R-HSA-112315","Transmission across Chemical Synapses",2774
"GNAL","R-HSA-418594","G alpha (i) signalling events",2774
"GNAL","R-HSA-381753","Olfactory Signaling Pathway",2774
"GNAL","R-HSA-112316","Neuronal System",2774
"GNAO1","R-HSA-4086398","Ca2+ pathway",2775
"GNAO1","R-HSA-3858494","Beta-catenin independent WNT signaling",2775
"GNAO1","R-HSA-195721","Signaling by WNT",2775
"GNAQ","R-HSA-399997","Acetylcholine regulates insulin secretion",2776
"GNAQ","R-HSA-400451","Free fatty acids regulate insulin secretion",2776
"GNAQ","R-HSA-202040","G-protein activation",2776
"GNAQ","R-HSA-428930","Thromboxane signalling through TP receptor",2776
"GNAQ","R-HSA-418592","ADP signalling through P2Y purinoceptor 1",2776
"GNAQ","R-HSA-456926","Thrombin signalling through proteinase activated receptors (PARs)",2776
"GNAQ","R-HSA-392518","Signal amplification",2776
"GNAQ","R-HSA-6814122","Cooperation of PDCL (PhLP1) and TRiC/CCT in G-protein beta folding",2776
"GNAQ","R-HSA-112043","PLC beta mediated events",2776
"GNAQ","R-HSA-112040","G-protein mediated events",2776
